Z,A,M
 25, 85,86.190
 26, 85,58.114
 27, 85,33.402
 28, 85, 9.679
 29, 85,-9.272
 30, 85, -26.850
 31, 85, -41.288
 32, 85, -54.324
 33, 85, -64.480
 34, 85, -73.184
 35, 85, -79.242
 36, 85, -81.879
 37, 85, -82.311
 38, 85, -81.331
 39, 85, -78.243
 40, 85, -73.569
 41, 85, -66.563
 42, 85, -57.545
 43, 85, -45.438
 44, 85, -30.232
 45, 85, -12.981
 46, 85, 6.656
 47, 85,27.955
 48, 85,51.459
 50, 85, 103.882
 22, 86, 192.348
 23, 86, 159.039
 24, 86, 124.678
 25, 86,96.111
 26, 86,66.158
 27, 86,42.097
 28, 86,16.316
 29, 86,-1.864
 30, 86, -21.773
 31, 86, -35.277
 32, 86, -50.849
 33, 86, -59.907
 34, 86, -71.352
 35, 86, -76.149
 36, 86, -83.639
 37, 86, -82.448
 38, 86, -84.444
 39, 86, -79.607
 40, 86, -78.155
 41, 86, -69.228
 42, 86, -63.680
 43, 86, -50.750
 44, 86, -39.249
 45, 86, -20.345
 46, 86,-4.778
 47, 86,18.328
 48, 86,38.135
 50, 86,88.573
 23, 87, 170.117
 24, 87, 136.064
 25, 87, 105.703
 26, 87,76.250
 27, 87,50.208
 28, 87,25.124
 29, 87, 4.716
 30, 87, -14.386
 31, 87, -30.323
 32, 87, -44.924
 33, 87, -56.615
 34, 87, -66.925
 35, 87, -74.558
 36, 87, -80.749
 37, 87, -84.474
 38, 87, -84.829
 39, 87, -83.078
 40, 87, -79.855
 41, 87, -74.213
 42, 87, -66.761
 43, 87, -57.405
 44, 87, -45.085
 45, 87, -29.788
 46, 87, -12.557
 47, 87, 6.537
 48, 87,28.124
 49, 87,51.277
 50, 87,76.653
 22, 88, 216.179
 23, 88, 181.518
 24, 88, 145.871
 25, 88, 115.925
 26, 88,84.679
 27, 88,59.238
 28, 88,32.180
 29, 88,12.502
 30, 88,-8.827
 31, 88, -23.876
 32, 88, -40.903
 33, 88, -51.547
 34, 88, -64.481
 35, 88, -70.908
 36, 88, -79.921
 37, 88, -82.281
 38, 88, -87.516
 39, 88, -84.081
 40, 88, -83.941
 41, 88, -76.439
 42, 88, -72.311
 43, 88, -61.010
 44, 88, -53.427
 45, 88, -36.153
 46, 88, -22.577
